ye,ma,tax,pop,engdp,ergdp,engdpc,ergdpc
1983,F,0.33000001311302185,54730000,482644590592,648973123584,8818.6474609375,11857.7216796875
1984,F,0.33000001311302185,54950000,484918591488,606783995904,8824.724609375,11042.474609375
1985,F,0.33000001311302185,55170000,528285270016,625019846656,9575.58984375,11328.98046875
1986,F,0.33000001311302185,55550000,627656556544,705827962880,11298.9482421875,12706.173828125
1987,F,0.33000001311302185,55820000,689975132160,753638834176,12360.7158203125,13501.2333984375
1988,F,0.2800000011920929,55120000,711119405056,755275595776,12901.2958984375,13702.3876953125
1989,F,0.2800000011920929,56420000,763949416448,787588579328,13540.400390625,13959.38671875
1990,F,0.25,56730000,884801863680,884801863680,15596.71875,15596.71875
1973,F,0.33000001311302185,52130000,212794097664,809580429312,4081.9892578125,15530.029296875
1974,F,0.33000001311302185,52490000,229034098688,779037114368,4363.38525390625,14841.62890625
1975,F,0.33000001311302185,52790000,282483490816,850534334464,5351.07958984375,16111.65625
1976,F,0.33000001311302185,52910000,304950738944,826160971776,5763.57470703125,15614.4580078125
1977,F,0.33000001311302185,53150000,334757396480,830097391616,6298.3515625,15618.0126953125
1978,F,0.33000001311302185,53380000,392584200192,884018315264,7354.5185546875,16560.853515625
1979,F,0.33000001311302185,53610000,456065056768,932707434496,8507.0888671875,17398.01171875
1980,F,0.33000001311302185,53880000,504013553664,925467934720,9354.3720703125,17176.46484375
1981,F,0.33000001311302185,54180000,491963580416,811003805696,9080.169921875,14968.693359375
1982,F,0.33000001311302185,54480000,492001394688,725942992896,9030.8623046875,13324.9443359375
1971,F,0.33000001311302185,51250000,159195119616,702848368640,3106.246337890625,13714.1142578125
1972,F,0.33000001311302185,51700000,177865719808,733990551552,3440.3427734375,14197.109375
1970,F,0.33000001311302185,50770000,142865104896,670747459584,2813.967041015625,13211.4921875
